,index,Farm_ID,Farm_uni_ID,Flowcell,Routine_vaccine,culled,w_des,Household_waste,Antibiotic_admin,Supplement,Isolation,npeopl_contact,workers_exp_oa,visitors_inside,other_pa,Type_farm,Unit_traffic,ventilation,water_supply,feed_stored,dogs,Breed_strain,Ruminants,OtherBirds,N_breed,campy,shi,gall,Farm_ID_check,Date,Farm.GPS,N_GPS,E_GPS,Geog_cluster,GWAS,Observed,Chao1,se.chao1,Shannon,InvSimpson,PA2
AECK18CM8,AECK18CM8,AECK-18-C,Farm_AECK-18,AM0VN,no,high,no,yes,no,no,no,15,yes,yes,yes,Caged,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,669,95,0,AECK-18(C),22-Feb-16,"22.76298N, 74.18257E",22.76298N,74.18257,C10,232,364,428.8,18.89579161,3.617924616,12.04616089,PA1
AECK18CM9,AECK18CM9,AECK-18-C,Farm_AECK-18,AM0VN,no,high,no,yes,no,no,no,15,yes,yes,yes,Caged,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,149,0,AECK-18(C),22-Feb-16,"22.76298N, 74.18257E",22.76298N,74.18257,C10,233,430,493.1612903,17.5442729,4.437830525,21.57702729,PA1
AECK19CM1,AECK19CM1,AECK-19-K,Farm_AECK-19,AM0VN,no,Normal,no,yes,no,no,no,3,yes,no,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-19(K),22-Feb-16,"22.81520N, 73.91969E",22.81520N,73.91969,C10,234,546,605.4125,15.76532416,4.847565748,45.09649692,PA3
AECK19CM4,AECK19CM4,AECK-19-K,Farm_AECK-19,AM0VN,no,Normal,no,yes,no,no,no,3,yes,no,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,8,0,0,AECK-19(K),22-Feb-16,"22.81520N, 73.91969E",22.81520N,73.91969,C10,238,725,875.1190476,28.1461792,5.169325796,70.1434245,PA3
AECK20CM1,AECK20CM1,AECK-20-K,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,52,0,0,AECK-20(K),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,254,583,681.3152174,22.15333298,4.835487643,45.66187465,PA3
AECK20CM10,AECK20CM10,AECK-20-C,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,0,346,0,AECK-20(C),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,255,471,555.0857143,21.10720332,4.733341227,50.643418,PA3
AECK20CM2,AECK20CM2,AECK-20-K,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,21,0,0,AECK-20(K),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,256,493,600.6388889,25.29951109,4.418369212,25.10186711,PA3
AECK20CM3,AECK20CM3,AECK-20-K,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-20(K),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,257,530,619.7945205,21.94646573,4.846247625,35.725861,PA3
AECK20CM4,AECK20CM4,AECK-20-K,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,10,0,0,AECK-20(K),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,258,396,477.147541,21.29276832,4.268207899,33.81977526,PA3
AECK20CM5,AECK20CM5,AECK-20-K,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-20(K),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,259,518,577.4166667,16.16359973,4.758697638,34.81200091,PA3
AECK20CM6,AECK20CM6,AECK-20-C,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,5,223,0,AECK-20(C),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,260,501,569.0597015,18.19892338,4.879097137,59.50193682,PA3
AECK20CM8,AECK20CM8,AECK-20-C,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-20(C),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,262,415,472.147541,16.34619968,4.500204777,42.10932932,PA3
AECK20CM9,AECK20CM9,AECK-20-C,Farm_AECK-20,AM0VN,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,20,0,0,AECK-20(C),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,263,389,449.3818182,17.47894774,4.138028908,25.15224183,PA3
AECK21CM10,AECK21CM10,AECK-21-C,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,51,23,0,AECK-21(C),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,265,752,907.3867925,30.24255128,5.451427075,103.0571473,PA3
AECK21CM2,AECK21CM2,AECK-21-K,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,25,223,0,AECK-21(K),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,266,399,430.92,11.16557588,4.692438727,48.98920728,PA3
AECK21CM3,AECK21CM3,AECK-21-K,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,85,0,0,AECK-21(K),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,267,478,570.0142857,22.60397712,4.666836433,49.08617075,PA3
AECK21CM6,AECK21CM6,AECK-21-C,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,115,0,0,AECK-21(C),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,270,678,795.0909091,24.15270252,5.103367096,69.54463855,PA3
AECK21CM7,AECK21CM7,AECK-21-C,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,106,61,0,AECK-21(C),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,271,789,879.8536585,19.46822024,5.544413891,108.0565822,PA3
AECK21CM8,AECK21CM8,AECK-21-C,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,103,0,0,AECK-21(C),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,272,669,813.3854167,29.353359,5.231369439,85.88682329,PA3
AECK21CM9,AECK21CM9,AECK-21-C,Farm_AECK-21,AM0VN,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,51,0,0,AECK-21(C),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,273,711,886.2234043,34.30597051,5.33459328,88.87059541,PA3
AECK22CM10,AECK22CM10,AECK-22-C,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,yes,CK,0,0,0,AECK-22(C),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,275,557,668.9850746,26.59946099,4.63143057,31.9099803,PA1
AECK22CM2,AECK22CM2,AECK-22-K,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Kadaknath,no,yes,CK,0,26,0,AECK-22(K),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,276,607,733.8787879,26.37030169,4.746078666,38.60646364,PA1
AECK22CM3,AECK22CM3,AECK-22-K,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Kadaknath,no,yes,CK,0,0,0,AECK-22(K),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,277,361,399.1206897,12.28074723,4.011323711,20.7833213,PA2
AECK22CM4,AECK22CM4,AECK-22-K,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Kadaknath,no,yes,CK,0,0,0,AECK-22(K),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,278,650,802.4752475,30.19565329,4.735598586,39.47535619,PA1
AECK22CM5,AECK22CM5,AECK-22-K,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Kadaknath,no,yes,CK,0,0,0,AECK-22(K),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,279,718,939.0526316,38.96790969,5.022957405,60.3636365,PA1
AECK22CM6,AECK22CM6,AECK-22-C,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,yes,CK,0,47,0,AECK-22(C),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,280,644,779.5188679,27.23644425,4.780256408,39.02801699,PA1
AECK22CM7,AECK22CM7,AECK-22-C,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,yes,CK,83,194,0,AECK-22(C),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,281,437,558.0169492,29.27961659,4.04969981,17.30684145,PA2
AECK22CM8,AECK22CM8,AECK-22-C,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,yes,CK,0,34,0,AECK-22(C),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,282,632,753.9514563,25.32683336,4.666954947,28.29429552,PA1
AECK22CM9,AECK22CM9,AECK-22-C,Farm_AECK-22,AM0VN,no,high,no,yes,no,no,no,2,no,no,yes,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,yes,CK,0,0,0,AECK-22(C),24-Feb-16,"23.08469N, 74.15643E",23.08469N,74.15643,C10,283,711,847.95,27.88009934,5.242297307,66.26616057,PA1
AEC11CM6,AEC11CM6,AEC-11,Farm_AEC-11,AM14W,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,186,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,16,650,770.7894737,27.24950453,5.19692466,59.92454044,PA1
AEC14CM9,AEC14CM9,AEC-14,Farm_AEC-14,AM14W,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,yes,Artificial,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,114,0,AEC-14,01-Jan-16,"20.73900N, 73.05600E",20.73900N,73.056,C5,48,689,814.2954545,26.94364182,5.268183708,79.45945071,PA1
AEC15CM5,AEC15CM5,AEC-15,Farm_AEC-15,AM14W,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,116,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,53,696,784.2692308,19.83242235,5.282264489,79.06566864,PA2
AEC9CM1,AEC09CM1,AEC-09,Farm_AEC-09,AM14W,yes,Normal,yes,no,yes,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,127,14,0,AEC-09,11-Dec-15,"23.69950N, 72.93678E",23.69950N,72.93678,C4,135,769,1018.212121,41.06781455,4.62419975,31.10286235,PA2
AECK23CM1,AECK23CM1,AECK-23-K,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-23(K),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,284,536,629.9230769,23.41650733,4.591991311,27.25905418,PA2
AECK23CM2,AECK23CM2,AECK-23-K,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-23(K),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,286,404,454.05,14.87396292,4.250921414,25.59304462,PA2
AECK23CM3,AECK23CM3,AECK-23-K,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,3302,0,AECK-23(K),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,287,236,258.9655172,9.956399005,3.63567979,16.63581784,PA2
AECK23CM4,AECK23CM4,AECK-23-K,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-23(K),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,288,604,708.5909091,25.33408328,5.156508509,71.35168184,PA2
AECK23CM5,AECK23CM5,AECK-23-K,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-23(K),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,289,459,517.453125,16.42941843,4.531815191,30.79937126,PA2
AECK23CM7,AECK23CM7,AECK-23-C,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,72,0,AECK-23(C),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,291,573,655.078125,21.21048764,5.073294418,57.8224942,PA2
AECK23CM8,AECK23CM8,AECK-23-C,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-23(C),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,292,426,478.1632653,16.12009857,4.461328728,29.67167643,PA2
AECK23CM9,AECK23CM9,AECK-23-C,Farm_AECK-23,AM14W,yes,Normal,no,yes,yes,yes,yes,2,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-23(C),25-Feb-16,"20.56425N, 72.96265E",20.56425N,72.96265,C5,293,600,656.7166667,16.32035281,5.252603279,83.41953456,PA2
AECK24CM1,AECK24CM1,AECK-24-K,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,no,yes,CK,0,0,0,AECK-24(K),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,294,274,325.2307692,23.00391014,4.486178841,49.37609952,PA1
AECK24CM10,AECK24CM10,AECK-24-C,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,no,yes,CK,0,162,0,AECK-24(C),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,295,650,747.5333333,22.1431931,5.160728261,62.49595448,PA1
AECK24CM2,AECK24CM2,AECK-24-K,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,no,yes,CK,0,0,0,AECK-24(K),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,296,616,675.4545455,15.02399073,4.961178761,47.39342266,PA1
AECK24CM3,AECK24CM3,AECK-24-K,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,no,yes,CK,0,0,0,AECK-24(K),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,297,574,626.5,14.95621923,5.253619141,90.74594377,PA1
AECK24CM4,AECK24CM4,AECK-24-K,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,no,yes,CK,0,56,0,AECK-24(K),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,298,530,588.2631579,16.86440503,5.114798966,77.41504928,PA1
AECK24CM5,AECK24CM5,AECK-24-K,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,no,yes,CK,0,0,0,AECK-24(K),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,299,373,418.75,15.37227218,4.341716697,28.32441667,PA1
AECK24CM6,AECK24CM6,AECK-24-C,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,no,yes,CK,0,568,0,AECK-24(C),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,300,366,386.5652174,8.300877962,4.524210368,35.05019455,PA1
AECK24CM7,AECK24CM7,AECK-24-C,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,no,yes,CK,0,198,0,AECK-24(C),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,301,539,626.5454545,22.10026225,4.878899813,51.60333452,PA1
AECK24CM8,AECK24CM8,AECK-24-C,Farm_AECK-24,AM14W,no,Normal,no,yes,no,no,no,2,no,no,no,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,no,yes,CK,0,0,0,AECK-24(C),25-Feb-16,"20.54320N, 72.94346E",20.54320N,72.94346,C5,302,602,672.7142857,18.52487871,5.281661169,86.25310015,PA1
AECK25CM10,AECK25CM10,AECK-25-C,Farm_AECK-25,AM14W,no,Normal,no,yes,no,no,no,4,yes,no,yes,Caged,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-25(C),25-Feb-16,"21.65326N, 72.98846E",21.65326N,72.98846,C6,304,125,129,3.687968296,3.373011882,14.459411,PA1
AECK25CM3,AECK25CM3,AECK-25-K,Farm_AECK-25,AM14W,no,Normal,no,yes,no,no,no,4,yes,no,yes,Caged,no,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-25(K),25-Feb-16,"21.65326N, 72.98846E",21.65326N,72.98846,C6,306,529,632.7142857,24.77373812,4.856312859,56.98911405,PA1
AECK25CM5,AECK25CM5,AECK-25-K,Farm_AECK-25,AM14W,no,Normal,no,yes,no,no,no,4,yes,no,yes,Caged,no,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,0,0,0,AECK-25(K),25-Feb-16,"21.65326N, 72.98846E",21.65326N,72.98846,C6,308,555,615.2205882,16.55134726,5.051141063,65.93912075,PA1
AECK25CM6,AECK25CM6,AECK-25-C,Farm_AECK-25,AM14W,no,Normal,no,yes,no,no,no,4,yes,no,yes,Caged,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,0,44,0,AECK-25(C),25-Feb-16,"21.65326N, 72.98846E",21.65326N,72.98846,C6,309,596,696.0125,23.25982604,4.917325488,48.74471299,PA1
AECK25CM7,AECK25CM7,AECK-25-C,Farm_AECK-25,AM14W,no,Normal,no,yes,no,no,no,4,yes,no,yes,Caged,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,0,0,0,AECK-25(C),25-Feb-16,"21.65326N, 72.98846E",21.65326N,72.98846,C6,310,253,274,10.46327044,3.906811583,17.7590287,PA1
AECK26CM1,AECK26CM1,AECK-26-K,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Kadaknath,no,no,CK,0,0,0,AECK-26(K),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,313,585,655.04,18.08184217,5.151206899,72.64467435,PA1
AECK26CM10,AECK26CM10,AECK-26-C,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-26(C),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,314,431,484.1147541,15.48111153,3.887731262,9.988692904,PA1
AECK26CM2,AECK26CM2,AECK-26-K,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Kadaknath,no,no,CK,0,0,0,AECK-26(K),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,315,359,418.0322581,20.00338939,4.231358863,22.43929216,PA1
AECK26CM3,AECK26CM3,AECK-26-K,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Kadaknath,no,no,CK,0,0,0,AECK-26(K),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,316,406,489.72,23.00396071,4.027638332,18.21265007,PA1
AECK26CM4,AECK26CM4,AECK-26-K,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Kadaknath,no,no,CK,0,0,0,AECK-26(K),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,317,447,496.5238095,16.11888261,4.961144682,67.00941193,PA1
AECK26CM6,AECK26CM6,AECK-26-C,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-26(C),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,318,488,554.641791,17.91430138,4.22591815,15.78684212,PA1
AECK26CM7,AECK26CM7,AECK-26-C,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-26(C),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,319,606,714.6728972,22.99557907,3.985745686,7.858473809,PA1
AECK26CM9,AECK26CM9,AECK-26-C,Farm_AECK-26,AM14W,no,high,no,yes,no,no,no,8,no,no,no,open,no,Natural,Manual,Within premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-26(C),25-Feb-16,"21.58287N, 73.03807E",21.58287N,73.03807,C6,321,620,710.4948454,20.54778316,4.577077418,17.37079906,PA1
AECK27CM1,AECK27CM1,AECK-27-K,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-27(K),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,322,475,525.8928571,15.31200316,4.906108081,60.08360357,PA1
AECK27CM10,AECK27CM10,AECK-27-C,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,56,0,AECK-27(C),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,323,507,566.0847458,16.89655709,4.109034655,9.392977783,PA1
AECK27CM2,AECK27CM2,AECK-27-K,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-27(K),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,324,419,478.375,17.86927524,4.629424149,39.90253102,PA1
AECK27CM3,AECK27CM3,AECK-27-K,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Kadaknath,no,no,CK,ND,ND,ND,AECK-27(K),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,EXCLUDED,268,285.6521739,8.667870229,4.139892204,23.74308306,PA1
AECK27CM5,AECK27CM5,AECK-27-K,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Kadaknath,no,no,CK,0,0,0,AECK-27(K),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,326,501,567.0483871,18.14273505,4.732844275,34.09565201,PA1
AECK27CM6,AECK27CM6,AECK-27-C,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-27(C),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,327,589,707.4074074,26.37696711,4.554468161,22.01750335,PA1
AECK27CM7,AECK27CM7,AECK-27-C,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-27(C),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,328,625,722.8082192,23.42265386,5.322589735,106.5677085,PA1
AECK27CM8,AECK27CM8,AECK-27-C,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-27(C),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,329,467,519.8181818,15.12924216,4.468800885,23.6876496,PA1
AECK27CM9,AECK27CM9,AECK-27-C,Farm_AECK-27,AM14W,yes,Normal,yes,no,no,no,yes,2,yes,no,yes,open,no,Artificial,Manual,Outside premises,no,Commercial broiler,no,no,CK,0,0,0,AECK-27(C),26-Feb-16,"24.32656N, 72.31648E",24.32656N,72.31648,C3,330,455,525.2631579,19.4226393,4.729765439,47.24563964,PA1
AECK28CM1,AECK28CM1,AECK-28-K,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Kadaknath,yes,no,CK,0,0,0,AECK-28(K),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,331,283,291.6363636,5.251944032,4.552721158,42.9837966,PA2
AECK28CM10,AECK28CM10,AECK-28-C,Farm_AECK-28,AM14W,no,Normal,no,yes,no,no,no,8,yes,no,yes,Enclosed,no,Natural,Manual,Within premises,yes,Commercial broiler,yes,no,CK,0,0,0,AECK-28(C),26-Feb-16,"24.12053N, 72.50080E",24.12053N,72.5008,C3,332,438,465.0612245,9.956921368,4.756099366,50.46930147,PA2
